pattern_id,file,category,kind,yaml_path,pattern,normalized_pattern,compile_ok,compile_error,empty_match,group_count,char_length,looks_broad,has_word_boundary,duplicate_exact_count,duplicate_same_kind_count
1,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[0],\b(Methodik|Diskussion|Fazit|Zusammenfassung|Abstract|Literaturverzeichnis|Anhang)\b,\b(methodik|diskussion|fazit|zusammenfassung|abstract|literaturverzeichnis|anhang)\b,True,,False,1,84,False,True,1,1
2,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[1],\b(S\.|f\.|ff\.)\s+\d+\b,\b(s\.|f\.|ff\.)\s+\d+\b,True,,False,1,24,False,True,1,1
3,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[2],\b(im\s+Folgenden|wie\s+oben\s+erwähnt|daraus\s+lässt\s+sich\s+ableiten)\b,\b(im\s+folgenden|wie\s+oben\s+erwähnt|daraus\s+lässt\s+sich\s+ableiten)\b,True,,False,1,74,False,True,1,1
4,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[3],\b(im\s+Rahmen\s+der\s+(Untersuchung|Analyse|Betrachtung|Studie|Theorie))\b,\b(im\s+rahmen\s+der\s+(untersuchung|analyse|betrachtung|studie|theorie))\b,True,,False,2,75,False,True,1,1
5,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[4],\b(unter\s+Berücksichtigung\s+der\s+(Daten|Ergebnisse|Quellen|Literatur))\b,\b(unter\s+berücksichtigung\s+der\s+(daten|ergebnisse|quellen|literatur))\b,True,,False,2,75,False,True,1,1
6,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[5],\b(in\s+Bezug\s+auf\s+die\s+(Hypothese|Fragestellung|Thematik))\b,\b(in\s+bezug\s+auf\s+die\s+(hypothese|fragestellung|thematik))\b,True,,False,2,65,False,True,1,1
7,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[6],\b(thematisiert|problematisiert|konzeptualisiert|impliziert|evaluiert)\b,\b(thematisiert|problematisiert|konzeptualisiert|impliziert|evaluiert)\b,True,,False,1,72,False,True,1,1
8,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[7],\b(Diskurs|Paradigma|Dichotomie|Validität|Kausalität)\b,\b(diskurs|paradigma|dichotomie|validität|kausalität)\b,True,,False,1,55,False,True,1,1
9,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[8],\b(aus\s+einer\s+rein\s+analytischen\s+Sicht)\b,\b(aus\s+einer\s+rein\s+analytischen\s+sicht)\b,True,,False,1,47,False,True,1,1
10,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[9],\b(auf\s+struktureller\s+Ebene)\b,\b(auf\s+struktureller\s+ebene)\b,True,,False,1,33,False,True,1,1
11,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[10],\b(in\s+einer\s+übergeordneten\s+Perspektive)\b,\b(in\s+einer\s+übergeordneten\s+perspektive)\b,True,,False,1,47,False,True,1,1
12,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[11],\b(vielschichtig|komplex\s+strukturiert|intrikat)\b,\b(vielschichtig|komplex\s+strukturiert|intrikat)\b,True,,False,1,51,False,True,1,1
13,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[12],\b(um\s+das\s+zu\s+veranschaulichen)\b,\b(um\s+das\s+zu\s+veranschaulichen)\b,True,,False,1,38,False,True,1,1
