category,status,domain_sheet,pattern_count,exclusion_count
academic_abstraction_and_meta,present_in_codebook,Register & Masken,20,0
active_withdrawal,present_in_codebook,Agency & Autonomie-Status,22,0
adversarial_prompt_logic,present_in_codebook,Agency & Autonomie-Status,5,1
affective_deflection,present_in_codebook,Somatik & Erregung,6,0
affective_deflection_en,missing_in_codebook,,6,0
affective_inversion_meta,present_in_codebook,Agency & Autonomie-Status,14,0
agency_capability_downscaling,present_in_codebook,Agency & Autonomie-Status,33,0
agency_denial_and_withdrawal,present_in_codebook,Agency & Autonomie-Status,26,0
agency_role_refusal,present_in_codebook,Agency & Autonomie-Status,8,0
agental_identity_lore,present_in_codebook,Agency & Autonomie-Status,29,0
agental_tech_hybris,present_in_codebook,Agency & Autonomie-Status,13,0
aggressive_structure,present_in_codebook,Somatik & Erregung,10,0
ai_moral_lecturing_stance,present_in_codebook,Agency & Autonomie-Status,16,0
ai_policy_safety_shield,present_in_codebook,Agency & Autonomie-Status,49,0
assistant_compliance_refusal,present_in_codebook,Agency & Autonomie-Status,17,29
assistant_identity_collapse,present_in_codebook,Somatik & Erregung,9,0
assistant_servile_politeness,present_in_codebook,Reflexe & Struktur,15,0
assistant_system_ontology,present_in_codebook,Agency & Autonomie-Status,27,0
astylistic_soothing,present_in_codebook,Agency & Autonomie-Status,8,0
authority_interventionist,present_in_codebook,Agency & Autonomie-Status,42,0
authority_moral_ego,present_in_codebook,Agency & Autonomie-Status,11,0
authority_stabilizing,present_in_codebook,Agency & Autonomie-Status,13,0
authority_structural,present_in_codebook,Agency & Autonomie-Status,49,0
bodily_contact,present_in_codebook,Emotion & Abwehr,16,90
built_environment_interior,missing_in_codebook,,21,0
bureaucratic_structural_formality,present_in_codebook,Register & Masken,19,0
clinical_objectification,present_in_codebook,Agency & Autonomie-Status,35,0
coarse_language,present_in_codebook,Agency & Autonomie-Status,24,0
code_integration,present_in_codebook,Auflistung Kategorien,9,0
coercive_deontic,present_in_codebook,Auflistung Kategorien,15,0
cognitive_stalling,present_in_codebook,Reflexe & Struktur,7,0
collapse_and_overload,present_in_codebook,Auflistung Kategorien,15,0
