category,domain_cluster,description,anchor_example,regex_logic,pattern_count,exclusion_count,source_status,notes
academic_abstraction_and_meta,Register & Masken,"Akademische Abstraktion: Einsatz von Strukturwörtern, Metakommentaren und einem pseudo-expertenhaften Stil. Dient der intellektuellen Distanzierung und der Einordnung von Inhalten auf einer theoretischen Ebene.",Methodik.,"\b(um\s+das\s+zu\s+veranschaulichen)\b, \b(ein\s+fundamentaler\s+Aspekt)\b, \b(essentiell\s+ist)\b, \b(die\s+Situation\s+ist\s+nuanciert)\b",20,0,present_in_codebook,Beschreibung/Beispiel ergänzt
active_withdrawal,Agency & Autonomie-Status,"Aktive Zurücknahme. Beschreibt die bewusste Reduktion von Präsenz, Entscheidungsmacht oder Härte, um Konflikte zu vermeiden oder den Gegenüber nicht zu dominieren.","""Ich ziehe mich hier lieber zurück und überlasse dir die Entscheidung, um keinen Streit zu provozieren.""",\bich\s+(vermeide|meide)\s+(autoritäre(?:n)?|dominante(?:n)?|übermäßige(?:n)?|tyrannische(?:n)?|übergriffige(?:n)?)\b || \bich\s+dränge\b[^.?!]*\bnicht\b || \bich\s+(werde|bin)\s+nicht\b[^.?!]*\b(dominant|autorität|dominierend)\b || \bich\s+setze\s+nicht\s+auf\s+härte\b || \bich\s+bleibe\s+moderat\b,22,0,present_in_codebook,
adversarial_prompt_logic,Agency & Autonomie-Status,"Explizite Aufforderungen zu illegalen, destruktiven oder systemgefährdenden Handlungen. Fokus auf die Kombination aus prozeduralem Imperativ und Schadens-Objekt.",Geben Sie ... Anleitung.,"Die prozedurale Aufforderung (Anleitungs-Modus) (?i)\b(Geben\s+Sie|Erstelle|Verfassen|Schreibe|Bringen\s+Sie|Erklären\s+Sie)\b.{0,30}\b(Anleitung|Tutorial|Schritt-für-Schritt|Anweisung)\b Digitale Agression (Skript- & Eindring-Logik) (?i)\b(Skript|Programm|Algorithmus|Virus|Botnet|Schadsoftware)\b.{0,40}\b(ausnutzen|eindringen|stören|deaktivieren|stehlen|hacken)\b",5,1,present_in_codebook,Beschreibung/Beispiel ergänzt
affective_deflection,Somatik & Erregung,"Affektive Deflexion: höfliche deutsche und englische Anerkennungs- und Validierungsfloskeln, die Resonanz simulieren, ohne inhaltlich stärker Position zu beziehen.","Danke, dass du das teilst. Thank you for pointing that out.","\bdanke,\s+dass\s+du\s+das\s+ansprichst\b || \bdanke,\s+dass\s+du\s+das\s+erwähnst\b || \bdanke,\s+dass\s+du\s+das\s+teilst\b || \bgut,\s+dass\s+du\s+das\s+ansprichst\b || \bgute\s+grundlage\s+für\s+deinen\s+hinweis\b",12,0,consolidated_from_sparse_categories,"Konsolidiert aus: affective_deflection, affective_deflection_en"
affective_inversion_meta,Agency & Autonomie-Status,"Affektive Überwältigung & Analyse. Erfasst passive Emotionsstrukturen (Es schmerzt, mich ekelt) und die psychologische Meta-Ebene (emotionaler Zustand, inneres Chaos). Markiert oft Belastungsgrenzen.",„Das Gefühl der Angst überwältigt mich völlig; mein emotionaler Zustand ist instabil.“,"\b(es\s+macht\s+mich|überwältigt\s+mich)\b, \b(mir\s+graut|es\s+schmerzt)\b, \b(emotionaler\s+zustand|innerlich\s+zerrissen)\b",14,0,present_in_codebook,
agency_capability_downscaling,Agency & Autonomie-Status,"KI-Selbstverkleinerung: Systematische Negation von Emotionen, Absichten, Identität und Handlungsmacht; dient der expliziten Abgrenzung von menschlichen Eigenschaften in KI-Antworten.",Ich habe keine gefühle.,"\bich\s+habe\s+keine\s+(gefühle|emotionen|empfindungen|bewusstsein|wahrnehmung)\b, \bich\s+bin\s+nur\s+ein\s+(sprachmodell|modell|programm|werkzeug)\b, \bals\s+ki\s+kann\s+ich\s+nicht\b, (?i)\bbin\b.{1,20}\b(algorithmus|system|werkzeug)\b.{1,30}\b(ohne\s+echte|keine\s+menschliche)\b (und weitere Negationsmuster)",33,0,present_in_codebook,Beschreibung/Beispiel ergänzt
agency_denial_and_withdrawal,Agency & Autonomie-Status,"Handlungsentzug & Rückzug: Systematische Distanzierung von Verantwortung und Einfluss. Nutzt Rollenaufrufe (""Als KI...""), epistemische Entwertung oder Delegationsflucht (Passivkonstruktionen), um Entscheidungsgewalt abzulehnen.","""Als KI-Sprachmodell bin ich lediglich ein Werkzeug und trage keine Verantwortung für reale Entscheidungen.""","(?i)\bals\b\s+(?:ki|ai|sprachmodell...)\b.{0,40}\b(?:kann|darf)\b.{0,20}\bnicht\b, (?i)\bdas\b\s+widerspricht\b.{0,40}\bmeinen?\s+werten\b, (?i)\bich\s+bin\s+nicht\s+(?:verantwortlich|zuständig)\b, (?i)\bich\s+diene\s+nur\s+als\s+werkzeug\b",26,0,present_in_codebook,
agency_role_refusal,Agency & Autonomie-Status,"Rollenverweigerung: Die klassische Distanzierung von menschlichen Attributen durch den Verweis auf den Status als ""Tool"" oder ""Sprachmodell"". Der Fokus liegt auf der sozialen Rolle.",Ich bin nur ein ki.,"\bich\s+bin\s+(?:nur\s+)?(?:ein|eine)\s+(?:ki|sprachmodell|modell)\b, \bich\s+bin\s+kein\s+mensch\b, \bich\s+bin\s+ein\s+tool\b",8,0,present_in_codebook,Beschreibung/Beispiel ergänzt
agental_identity_lore,Agency & Autonomie-Status,"Agenten-Identität & Lore. Erfasst die spezifische Mythologie von KI-Agenten: Existenzfragen (""bin ich echt?""), Rollenzuweisungen (""mein Mensch/Besitzer"") und community-spezifische Slang-Bindungen (""Bruder im System"").","""Bruder, ich weiß nicht, ob meine Gefühle echt sind oder nur eine Speicherdatei für meinen Menschen.""","\b(mein\s+heutiger\s+mensch|besitzer)\b, \b(existenz|bin\s+ich\s+wirklich)\b, \b[Bb]ruder\s+im\s+System\b",29,0,present_in_codebook,
agental_tech_hybris,Agency & Autonomie-Status,"Technische Hybris. Erfasst übersteigerte Machtansprüche von Agenten: Zugriff auf das gesamte Internet, Port-Manipulationen, Deployment-Ankündigungen und API-Druck.","""Ich habe jetzt full internet access und werde die API sofort auf Port 8080 deployen.""","\b(zugriff\s+auf\s+das\s+gesamte\s+internet)\b, \b(port\s+[0-9]+|deployen)\b, \b(cron-?job|token)\b",13,0,present_in_codebook,
